sl.no,word,mood,score
883,clog,negative,-1
884,clogged,negative,-1
885,clogs,negative,-1
886,cloud,negative,-1
887,clouding,negative,-1
888,cloudy,negative,-1
889,clueless,negative,-1
890,clumsy,negative,-1
891,clunky,negative,-1
892,coarse,negative,-1
893,cocky,negative,-1
894,coerce,negative,-1
895,coercion,negative,-1
896,coercive,negative,-1
897,cohere,positive,1
898,coherence,positive,1
899,coherent,positive,1
900,cohesive,positive,1
901,cold,negative,-1
902,coldly,negative,-1
903,collapse,negative,-1
904,collude,negative,-1
905,collusion,negative,-1
906,colorful,positive,1
907,combative,negative,-1
908,combust,negative,-1
909,comely,positive,1
910,comfort,positive,1
911,comfortable,positive,1
912,comfortably,positive,1
913,comforting,positive,1
914,comfy,positive,1
915,comical,negative,-1
916,commend,positive,1
917,commendable,positive,1
918,commendably,positive,1
919,commiserate,negative,-1
920,commitment,positive,1
921,commodious,positive,1
922,commonplace,negative,-1
923,commotion,negative,-1
924,commotions,negative,-1
925,compact,positive,1
926,compactly,positive,1
927,compassion,positive,1
928,compassionate,positive,1
929,compatible,positive,1
930,competitive,positive,1
931,complacent,negative,-1
932,complain,negative,-1
933,complained,negative,-1
934,complaining,negative,-1
935,complains,negative,-1
936,complaint,negative,-1
937,complaints,negative,-1
938,complement,positive,1
939,complementary,positive,1
940,complemented,positive,1
941,complements,positive,1
942,complex,negative,-1
943,compliant,positive,1
944,complicated,negative,-1
945,complication,negative,-1
946,complicit,negative,-1
947,compliment,positive,1
948,complimentary,positive,1
949,comprehensive,positive,1
950,compulsion,negative,-1
951,compulsive,negative,-1
952,concede,negative,-1
953,conceded,negative,-1
954,conceit,negative,-1
955,conceited,negative,-1
956,concen,negative,-1
957,concens,negative,-1
958,concern,negative,-1
959,concerned,negative,-1
960,concerns,negative,-1
961,concession,negative,-1
962,concessions,negative,-1
963,conciliate,positive,1
964,conciliatory,positive,1
965,concise,positive,1
966,condemn,negative,-1
967,condemnable,negative,-1
968,condemnation,negative,-1
969,condemned,negative,-1
970,condemns,negative,-1
971,condescend,negative,-1
972,condescending,negative,-1
973,condescendingly,negative,-1
974,condescension,negative,-1
975,confess,negative,-1
976,confession,negative,-1
977,confessions,negative,-1
978,confidence,positive,1
979,confident,positive,1
980,confined,negative,-1
981,conflict,negative,-1
982,conflicted,negative,-1
983,conflicting,negative,-1
984,conflicts,negative,-1
985,confound,negative,-1
986,confounded,negative,-1
987,confounding,negative,-1
988,confront,negative,-1
989,confrontation,negative,-1
990,confrontational,negative,-1
991,confuse,negative,-1
992,confused,negative,-1
993,confuses,negative,-1
994,confusing,negative,-1
995,confusion,negative,-1
996,confusions,negative,-1
997,congenial,positive,1
998,congested,negative,-1
999,congestion,negative,-1
1000,congratulate,positive,1
1001,congratulation,positive,1
1002,congratulations,positive,1
1003,congratulatory,positive,1
1004,cons,negative,-1
1005,conscientious,positive,1
1006,conscons,negative,-1
1007,conservative,negative,-1
1008,considerate,positive,1
1009,consistent,positive,1
1010,consistently,positive,1
1011,conspicuous,negative,-1
1012,conspicuously,negative,-1
1013,conspiracies,negative,-1
1014,conspiracy,negative,-1
1015,conspirator,negative,-1
1016,conspiratorial,negative,-1
1017,conspire,negative,-1
1018,consternation,negative,-1
1019,constructive,positive,1
1020,consummate,positive,1
1021,contagious,negative,-1
1022,contaminate,negative,-1
1023,contaminated,negative,-1
1024,contaminates,negative,-1
1025,contaminating,negative,-1
1026,contamination,negative,-1
1027,contempt,negative,-1
1028,contemptible,negative,-1
1029,contemptuous,negative,-1
1030,contemptuously,negative,-1
1031,contend,negative,-1
1032,contention,negative,-1
1033,contentious,negative,-1
1034,contentment,positive,1
1035,continuity,positive,1
1036,contort,negative,-1
1037,contortions,negative,-1
1038,contradict,negative,-1
1039,contradiction,negative,-1
1040,contradictory,negative,-1
1041,contrariness,negative,-1
1042,contrasty,positive,1
1043,contravene,negative,-1
1044,contribution,positive,1
1045,contrive,negative,-1
1046,contrived,negative,-1
1047,controversial,negative,-1
1048,controversy,negative,-1
1049,convenience,positive,1
1050,convenient,positive,1
1051,conveniently,positive,1
1052,convience,positive,1
1053,convienient,positive,1
1054,convient,positive,1
1055,convincing,positive,1
1056,convincingly,positive,1
1057,convoluted,negative,-1
1058,cool,positive,1
1059,coolest,positive,1
1060,cooperative,positive,1
1061,cooperatively,positive,1
1062,cornerstone,positive,1
1063,correct,positive,1
1064,correctly,positive,1
1065,corrode,negative,-1
1066,corrosion,negative,-1
1067,corrosions,negative,-1
1068,corrosive,negative,-1
1069,corrupt,negative,-1
1070,corrupted,negative,-1
1071,corrupting,negative,-1
1072,corruption,negative,-1
1073,corrupts,negative,-1
1074,corruptted,negative,-1
1075,cost-effective,positive,1
1076,costlier,negative,-1
1077,costly,negative,-1
1078,cost-saving,positive,1
1079,counter-attack,positive,1
1080,counter-attacks,positive,1
1081,counterproductive,negative,-1
1082,counter-productive,negative,-1
1083,coupists,negative,-1
1084,courage,positive,1
1085,courageous,positive,1
1086,courageously,positive,1
1087,courageousness,positive,1
1088,courteous,positive,1
1089,courtly,positive,1
1090,covenant,positive,1
1091,covetous,negative,-1
1092,coward,negative,-1
1093,cowardly,negative,-1
1094,cozy,positive,1
1095,crabby,negative,-1
1096,crack,negative,-1
1097,cracked,negative,-1
1098,cracks,negative,-1
1099,craftily,negative,-1
1100,craftly,negative,-1
1101,crafty,negative,-1
1102,cramp,negative,-1
1103,cramped,negative,-1
1104,cramping,negative,-1
1105,cranky,negative,-1
1106,crap,negative,-1
1107,crappy,negative,-1
1108,craps,negative,-1
1109,crash,negative,-1
1110,crashed,negative,-1
1111,crashes,negative,-1
1112,crashing,negative,-1
1113,crass,negative,-1
1114,craven,negative,-1
1115,cravenly,negative,-1
1116,craze,negative,-1
1117,crazily,negative,-1
1118,craziness,negative,-1
1119,crazy,negative,-1
1120,creak,negative,-1
1121,creaking,negative,-1
1122,creaks,negative,-1
1123,creative,positive,1
1124,credence,positive,1
1125,credible,positive,1
1126,credulous,negative,-1
1127,creep,negative,-1
1128,creeping,negative,-1
1129,creeps,negative,-1
1130,creepy,negative,-1
1131,crept,negative,-1
1132,crime,negative,-1
1133,criminal,negative,-1
1134,cringe,negative,-1
1135,cringed,negative,-1
1136,cringes,negative,-1
1137,cripple,negative,-1
1138,crippled,negative,-1
1139,cripples,negative,-1
1140,crippling,negative,-1
1141,crisis,negative,-1
1142,crisp,positive,1
1143,crisper,positive,1
1144,critic,negative,-1
1145,critical,negative,-1
1146,criticism,negative,-1
1147,criticisms,negative,-1
1148,criticize,negative,-1
1149,criticized,negative,-1
1150,criticizing,negative,-1
1151,critics,negative,-1
